,body,head,hair,face,eye,nose,ear,mouth,lip,tooth,tongue,throat,chin,neck,shoulder,finger,stomach,thigh,skin,knee,sweat,bone,liver
Amedia_Jewish,?,1,2,1,1,1,2,1,1,3,1,1,?,2,2,1,1,1,1,1,1,1,1
Arbel,?,1,?,2,1,2,2,2,1,3,1,?,1,1,2,1,1,?,1,?,?,1,1
Ashitha,1,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,?
Bariṭle,2,1,1,2,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,?
Barwar,2,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1
Barzan,?,1,?,2,1,1,2,1,1,3,1,1,?,2,2,?,1,?,1,?,1,1,?
Betanure,?,1,2,1,1,1,2,1,1,3,1,1,?,2,2,1,1,1,1,1,1,1,1
Bohtan,4,1,?,1,1,1,2,2,1,3,1,1,?,2,1,1,1,1,1,1,1,1,?
Derabun,?,1,?,1,1,1,2,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,?
Diyana-Zariwaw,1,1,4,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,?
Dohok_Jewish,3,1,2,1,1,1,2,1,1,3,1,1,?,2,2,1,1,1,1,1,1,1,1
Hassana,?,1,?,1,1,1,2,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,?
Hertevin,?,1,?,1,1,?,2,1,1,3,1,4,1,2,2,1,1,1,?,?,1,1,2
Jənnet,?,1,?,1,1,1,2,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,?
Karəmlesh,2,1,1,1,1,2,2,2,1,3,1,1,?,1,1,1,1,1,1,1,1,1,?
Koy_Sanjaq_Jewish,?,1,?,2,1,2,2,1,1,3,1,1,1,1,2,1,1,?,1,?,?,1,1
Marga,1,1,?,1,1,1,2,2,1,3,1,1,1,2,?,1,1,1,1,1,1,1,1
Nargəzine-Xarjawa,2,1,?,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1
Nerwa_Jewish,?,1,2,1,1,1,2,1,1,3,1,1,?,2,2,1,1,?,1,1,1,1,1
Qaraqosh(Baghdede),2,1,1,2,1,1,2,2,1,3,1,1,?,1,1,1,1,1,1,1,1,1,?
Sanandaj_Christian,?,1,1,2,1,2,2,2,1,3,1,1,1,1,1,1,1,?,1,1,1,1,?
Sanandaj_Jewish,?,1,?,2,1,2,2,1,1,3,1,1,?,1,2,1,1,?,2,1,?,1,1
Saqəz,?,1,?,2,1,2,2,2,1,3,1,?,?,1,2,1,1,?,2,1,?,1,?
Shaqlawa_Christian,3,1,4,2,1,2,2,2,1,3,1,1,1,1,1,1,1,?,1,?,1,1,?
Shiyuz,2,1,1,1,1,1,2,2,1,3,1,1,?,2,1,1,1,1,1,1,1,1,?
Shōsh-u-Sharmən,2,1,?,2,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1
Sulemaniyya_Jewish,?,1,?,2,1,2,2,1,?,3,1,?,?,1,2,1,1,?,2,1,?,1,1
Umra,?,1,?,1,1,1,2,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,?
Umrad-Shish,?,1,?,1,1,1,2,2,1,3,1,1,1,2,?,?,1,1,1,1,1,1,1
Urmi_Christian,1,1,4,1,1,1,2,1,1,3,1,1,?,2,1,1,1,?,1,1,1,1,?
Urmi_Jewish,?,1,3,2,1,2,2,2,1,3,1,1,?,1,2,1,1,?,2,?,?,1,?
Zakho_Jewish,?,1,2,1,1,1,2,1,1,3,1,1,?,?,2,1,1,1,1,1,1,1,1
Van,1,1,4,1,1,1,2,1,1,3,1,1,?,2,1,1,1,1,1,1,1,1,?
Baz,1,1,1,1,1,1,2,1,1,3,1,1,?,2,1,1,1,1,1,1,1,1,1
Baṭnaya,?,1,1,1,1,2,2,2,1,3,1,1,?,1,1,1,1,1,1,1,1,1,?
Midən,2,1,4,1,1,1,1,1,1,2,1,3,2,2,2,1,2,1,1,1,1,1,?
Midyat,2,?,4,1,1,1,1,1,1,2,1,3,2,2,3,1,2,1,1,1,1,1,2
Mlaḥso,?,1,?,1,1,1,1,1,1,2,1,3,?,2,2,1,2,1,?,1,1,1,?
Neo-Mandaic,?,1,3,1,1,1,1,1,1,1,1,2,?,1,?,1,1,1,2,1,?,1,?
Maaloula,?,1,4,1,1,1,1,2,1,1,1,3,?,2,3,1,1,1,1,1,1,1,?
