Language,Concept,Value
Amedia_Jewish,body,?
Arbel,body,?
Ashitha,body,1
Bariṭle,body,2
Barwar,body,2
Barzan,body,?
Betanure,body,?
Bohtan,body,4
Derabun,body,?
Diyana-Zariwaw,body,1
Dohok_Jewish,body,3
Hassana,body,?
Hertevin,body,?
Jənnet,body,?
Karəmlesh,body,2
Koy_Sanjaq_Jewish,body,?
Marga,body,1
Nargəzine-Xarjawa,body,2
Nerwa_Jewish,body,?
Qaraqosh(Baghdede),body,2
Sanandaj_Christian,body,?
Sanandaj_Jewish,body,?
Saqəz,body,?
Shaqlawa_Christian,body,3
Shiyuz,body,2
Shōsh-u-Sharmən,body,2
Sulemaniyya_Jewish,body,?
Umra,body,?
Umrad-Shish,body,?
Urmi_Christian,body,1
Urmi_Jewish,body,?
Zakho_Jewish,body,?
Van,body,1
Baz,body,1
Baṭnaya,body,?
Midən,body,2
Midyat,body,2
Mlaḥso,body,?
Neo-Mandaic,body,?
Maaloula,body,?
Amedia_Jewish,head,101
Arbel,head,101
Ashitha,head,101
Bariṭle,head,101
Barwar,head,101
Barzan,head,101
Betanure,head,101
Bohtan,head,101
Derabun,head,101
Diyana-Zariwaw,head,101
Dohok_Jewish,head,101
Hassana,head,101
Hertevin,head,101
Jənnet,head,101
Karəmlesh,head,101
Koy_Sanjaq_Jewish,head,101
Marga,head,101
Nargəzine-Xarjawa,head,101
Nerwa_Jewish,head,101
Qaraqosh(Baghdede),head,101
Sanandaj_Christian,head,101
Sanandaj_Jewish,head,101
Saqəz,head,101
Shaqlawa_Christian,head,101
Shiyuz,head,101
Shōsh-u-Sharmən,head,101
Sulemaniyya_Jewish,head,101
Umra,head,101
Umrad-Shish,head,101
Urmi_Christian,head,101
Urmi_Jewish,head,101
Zakho_Jewish,head,101
Van,head,101
Baz,head,101
Baṭnaya,head,101
Midən,head,101
Midyat,head,?
Mlaḥso,head,101
Neo-Mandaic,head,101
Maaloula,head,101
Amedia_Jewish,hair,202
Arbel,hair,?
Ashitha,hair,201
Bariṭle,hair,201
Barwar,hair,201
Barzan,hair,?
Betanure,hair,202
Bohtan,hair,?
Derabun,hair,?
Diyana-Zariwaw,hair,204
Dohok_Jewish,hair,202
Hassana,hair,?
Hertevin,hair,?
Jənnet,hair,?
Karəmlesh,hair,201
Koy_Sanjaq_Jewish,hair,?
Marga,hair,?
Nargəzine-Xarjawa,hair,?
Nerwa_Jewish,hair,202
Qaraqosh(Baghdede),hair,201
Sanandaj_Christian,hair,201
Sanandaj_Jewish,hair,?
Saqəz,hair,?
Shaqlawa_Christian,hair,204
Shiyuz,hair,201
Shōsh-u-Sharmən,hair,?
Sulemaniyya_Jewish,hair,?
Umra,hair,?
Umrad-Shish,hair,?
Urmi_Christian,hair,204
Urmi_Jewish,hair,203
Zakho_Jewish,hair,202
Van,hair,204
Baz,hair,201
Baṭnaya,hair,201
Midən,hair,204
Midyat,hair,204
Mlaḥso,hair,?
Neo-Mandaic,hair,203
Maaloula,hair,204
Amedia_Jewish,face,301
Arbel,face,302
Ashitha,face,301
Bariṭle,face,302
Barwar,face,301
Barzan,face,302
Betanure,face,301
Bohtan,face,301
Derabun,face,301
Diyana-Zariwaw,face,301
Dohok_Jewish,face,301
Hassana,face,301
Hertevin,face,301
Jənnet,face,301
Karəmlesh,face,301
Koy_Sanjaq_Jewish,face,302
Marga,face,301
Nargəzine-Xarjawa,face,301
Nerwa_Jewish,face,301
Qaraqosh(Baghdede),face,302
Sanandaj_Christian,face,302
Sanandaj_Jewish,face,302
Saqəz,face,302
Shaqlawa_Christian,face,302
Shiyuz,face,301
Shōsh-u-Sharmən,face,302
Sulemaniyya_Jewish,face,302
Umra,face,301
Umrad-Shish,face,301
Urmi_Christian,face,301
Urmi_Jewish,face,302
Zakho_Jewish,face,301
Van,face,301
Baz,face,301
Baṭnaya,face,301
Midən,face,301
Midyat,face,301
Mlaḥso,face,301
Neo-Mandaic,face,301
Maaloula,face,301
Amedia_Jewish,eye,401
Arbel,eye,401
Ashitha,eye,401
Bariṭle,eye,401
Barwar,eye,401
Barzan,eye,401
Betanure,eye,401
Bohtan,eye,401
Derabun,eye,401
Diyana-Zariwaw,eye,401
Dohok_Jewish,eye,401
Hassana,eye,401
Hertevin,eye,401
Jənnet,eye,401
Karəmlesh,eye,401
Koy_Sanjaq_Jewish,eye,401
Marga,eye,401
Nargəzine-Xarjawa,eye,401
Nerwa_Jewish,eye,401
Qaraqosh(Baghdede),eye,401
Sanandaj_Christian,eye,401
Sanandaj_Jewish,eye,401
Saqəz,eye,401
Shaqlawa_Christian,eye,401
Shiyuz,eye,401
Shōsh-u-Sharmən,eye,401
Sulemaniyya_Jewish,eye,401
Umra,eye,401
Umrad-Shish,eye,401
Urmi_Christian,eye,401
Urmi_Jewish,eye,401
Zakho_Jewish,eye,401
Van,eye,401
Baz,eye,401
Baṭnaya,eye,401
Midən,eye,401
Midyat,eye,401
Mlaḥso,eye,401
Neo-Mandaic,eye,401
Maaloula,eye,401
Amedia_Jewish,nose,501
Arbel,nose,502
Ashitha,nose,501
Bariṭle,nose,501
Barwar,nose,501
Barzan,nose,501
Betanure,nose,501
Bohtan,nose,501
Derabun,nose,501
Diyana-Zariwaw,nose,501
Dohok_Jewish,nose,501
Hassana,nose,501
Hertevin,nose,?
Jənnet,nose,501
Karəmlesh,nose,502
Koy_Sanjaq_Jewish,nose,502
Marga,nose,501
Nargəzine-Xarjawa,nose,501
Nerwa_Jewish,nose,501
Qaraqosh(Baghdede),nose,501
Sanandaj_Christian,nose,502
Sanandaj_Jewish,nose,502
Saqəz,nose,502
Shaqlawa_Christian,nose,502
Shiyuz,nose,501
Shōsh-u-Sharmən,nose,501
Sulemaniyya_Jewish,nose,502
Umra,nose,501
Umrad-Shish,nose,501
Urmi_Christian,nose,501
Urmi_Jewish,nose,502
Zakho_Jewish,nose,501
Van,nose,501
Baz,nose,501
Baṭnaya,nose,502
Midən,nose,501
Midyat,nose,501
Mlaḥso,nose,501
Neo-Mandaic,nose,501
Maaloula,nose,501
Amedia_Jewish,ear,602
Arbel,ear,602
Ashitha,ear,602
Bariṭle,ear,602
Barwar,ear,602
Barzan,ear,602
Betanure,ear,602
Bohtan,ear,602
Derabun,ear,602
Diyana-Zariwaw,ear,602
Dohok_Jewish,ear,602
Hassana,ear,602
Hertevin,ear,602
Jənnet,ear,602
Karəmlesh,ear,602
Koy_Sanjaq_Jewish,ear,602
Marga,ear,602
Nargəzine-Xarjawa,ear,602
Nerwa_Jewish,ear,602
Qaraqosh(Baghdede),ear,602
Sanandaj_Christian,ear,602
Sanandaj_Jewish,ear,602
Saqəz,ear,602
Shaqlawa_Christian,ear,602
Shiyuz,ear,602
Shōsh-u-Sharmən,ear,602
Sulemaniyya_Jewish,ear,602
Umra,ear,602
Umrad-Shish,ear,602
Urmi_Christian,ear,602
Urmi_Jewish,ear,602
Zakho_Jewish,ear,602
Van,ear,602
Baz,ear,602
Baṭnaya,ear,602
Midən,ear,601
Midyat,ear,601
Mlaḥso,ear,601
