,thick (stick),to do,wood,shoulder,ashes,bark (of tree),belly,Big,bird (big),Black,Blood,Bone,Breast,to burn (intrans,cloud,cold,to come,to drink,dry (ad,Ear,to eat,Egg,Fire,Fish,Fly,Foot,to give,to go,good,Grass,Hair,Hand,Heart,I,to kill,to know,Leaf,Liver,Long,Louse,husband,Many,"meat, flesh",moon,Mountain,Mouth,Neck,new (msg.),Night,nose,one,rain,red,Root,to say,to see,to sit,Skin,to sleep,small,smoke,to stand,star,stone,Sun,to swim,this msg,tooth,Tree,What?,White,Who?,Woman
Ethio_Ge'ez,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
Ethio_Tigre,1,1,2,1,2,2,2,1,2,1,1,1,1,2,8,1,1,1,1,1,1,,1,,2,1,2,2,2,2,,1,1,2,2,4,1,3,2,1,1,1,1,2,,1,3,1,2,2,1,1,1,1,2,3,4,,4,3,,1,1,2,1,1,3,1,,1,3,1,4
Ethio_Tigrinya,2,1,2,2,3,1,2,1,1,1,1,1,1,,8,2,1,1,2,1,1,,2,,2,1,2,3,3,2,,1,1,1,1,3,1,2,1,1,1,1,,1,2,1,1,1,1,1,1,2,1,1,1,1,2,,3,1,2,3,1,1,1,,1,1,2,1,1,1,
Ethio_Harari,3,,,,1,1,4,4,1,3,1,1,2,4,8,1,2,1,3,1,1,1,1,1,1,1,3,4,5,2,,1,1,1,2,,1,1,3,1,1,1,2,2,4,1,3,1,3,2,1,1,1,1,1,1,5,,5,4,1,4,2,1,,2,1,1,4,1,2,1,5
Ethio_Chaha,,,,,1,7,5,10,1,2,1,1,,4,8,4,4,3,4,1,1,,1,,1,1,2,5,7,2,2,1,2,2,1,6,1,1,4,1,1,1,2,2,6,1,3,3,4,1,1,1,,1,1,3,7,,5,2,1,1,1,1,4,5,1,1,1,1,2,1,6
Ethio_Amharic,4,2,2,2,1,1,,2,1,2,1,1,2,3,8,1,1,2,3,2,1,,1,,1,1,3,3,4,2,,1,1,1,2,4,1,1,2,1,1,1,,2,3,1,3,1,1,2,1,1,1,1,2,2,3,,4,2,,1,1,2,1,1,1,3,,1,2,1,3
NWS_Hebrew,5,3,1,2,4,8,7,11,3,6,1,1,2,6,1,2,5,1,1,1,2,2,3,2,7,3,4,6,9,3,2,1,1,1,3,7,4,1,6,2,2,7,2,3,7,2,4,1,1,1,1,4,3,5,4,1,8,2,8,8,3,6,1,1,5,6,5,1,1,2,6,4,7
NWS_Ugaritic,,,1,2,5,8,2,11,4,,1,1,,6,2,,5,1,5,1,2,,1,2,,4,5,,9,,3,2,1,1,3,7,,1,6,,,8,2,3,8,2,5,,1,1,1,4,3,5,5,5,8,,8,9,4,,1,1,5,,6,1,1,2,6,4,8
ES_Akkadian,6,4,1,3,6,8,3,12,4,1,1,1,3,6,2,6,6,1,5,1,2,3,1,3,6,5,4,7,10,3,3,3,1,1,4,7,6,1,6,3,4,9,4,3,10,2,1,1,4,1,4,1,5,5,6,6,8,3,10,11,5,8,1,1,5,7,4,1,1,1,8,1,9
Arabic_Levantine,7,6,3,2,7,9,7,13,7,12,1,1,7,8,6,1,7,4,8,3,2,2,5,6,7,11,7,9,19,5,3,2,3,1,1,8,7,1,7,1,,13,5,5,11,6,7,4,1,4,1,5,6,5,7,7,13,8,1,9,6,9,4,4,5,9,5,1,9,3,9,1,10
Arabic_Baghdadi,7,6,3,2,7,9,7,13,7,12,1,1,8,8,6,1,7,4,1,3,2,2,5,6,7,3,7,9,18,11,3,2,3,1,1,8,7,1,7,1,5,14,5,5,11,7,7,4,1,6,1,9,6,9,7,7,13,8,1,9,6,9,4,4,5,9,5,1,9,3,9,1,10
