Language,Concept,Value
Ethio_Ge'ez,thick (stick),1
Ethio_Tigre,thick (stick),1
Ethio_Tigrinya,thick (stick),2
Ethio_Harari,thick (stick),3
Ethio_Chaha,thick (stick),?
Ethio_Amharic,thick (stick),4
NWS_Hebrew,thick (stick),5
NWS_Ugaritic,thick (stick),?
ES_Akkadian,thick (stick),6
Arabic_Levantine,thick (stick),7
Arabic_Baghdadi,thick (stick),7
Arabic_Moroccan,thick (stick),8
Arabic_Ogaden,thick (stick),?
MSA_Mehri,thick (stick),8
MSA_Jibbali,thick (stick),?
MSA_Soqotri,thick (stick),?
NWS_Aramaic_Classical,thick (stick),5
NWS_Aramaic_Barwar,thick (stick),9
NWS_Aramaic_Qaraqosh,thick (stick),9
NWS_Aramaic_J_Betanure,thick (stick),9
NWS_Aramaic_J_Barzan,thick (stick),9
NWS_Aramaic_Hertevin,thick (stick),10
NWS_Aramaic_Jinnet,thick (stick),10
NWS_Aramaic_Mer,thick (stick),9
NWS_Aramaic_Urmi_C,thick (stick),9
NWS_Aramaic_J_Koy_Sanjaq,thick (stick),?
NWS_Aramaic_J_Sanandaj,thick (stick),?
NWS_Aramaic_Miden,thick (stick),9
NWS_Aramaic_Mlahso,thick (stick),?
NWS_Aramaic_Western_Maaloula,thick (stick),?
NWS_Aramaic_Mandaic_Neo,thick (stick),9
Ethio_Ge'ez,to do,101
Ethio_Tigre,to do,101
Ethio_Tigrinya,to do,101
Ethio_Harari,to do,?
Ethio_Chaha,to do,?
Ethio_Amharic,to do,102
NWS_Hebrew,to do,103
NWS_Ugaritic,to do,?
ES_Akkadian,to do,104
Arabic_Levantine,to do,106
Arabic_Baghdadi,to do,106
Arabic_Moroccan,to do,107
Arabic_Ogaden,to do,?
MSA_Mehri,to do,108
MSA_Jibbali,to do,?
MSA_Soqotri,to do,?
NWS_Aramaic_Classical,to do,105
NWS_Aramaic_Barwar,to do,105
NWS_Aramaic_Qaraqosh,to do,105
NWS_Aramaic_J_Betanure,to do,105
NWS_Aramaic_J_Barzan,to do,105
NWS_Aramaic_Hertevin,to do,105
NWS_Aramaic_Jinnet,to do,105
NWS_Aramaic_Mer,to do,105
NWS_Aramaic_Urmi_C,to do,105
NWS_Aramaic_J_Koy_Sanjaq,to do,105
NWS_Aramaic_J_Sanandaj,to do,105
NWS_Aramaic_Miden,to do,106
NWS_Aramaic_Mlahso,to do,106
NWS_Aramaic_Western_Maaloula,to do,?
NWS_Aramaic_Mandaic_Neo,to do,105
Ethio_Ge'ez,wood,201
Ethio_Tigre,wood,202
Ethio_Tigrinya,wood,202
Ethio_Harari,wood,?
Ethio_Chaha,wood,?
Ethio_Amharic,wood,202
NWS_Hebrew,wood,201
NWS_Ugaritic,wood,201
ES_Akkadian,wood,201
Arabic_Levantine,wood,203
Arabic_Baghdadi,wood,203
Arabic_Moroccan,wood,203
Arabic_Ogaden,wood,203
MSA_Mehri,wood,204
MSA_Jibbali,wood,204
MSA_Soqotri,wood,204
NWS_Aramaic_Classical,wood,201
NWS_Aramaic_Barwar,wood,205
NWS_Aramaic_Qaraqosh,wood,205
NWS_Aramaic_J_Betanure,wood,206
NWS_Aramaic_J_Barzan,wood,206
NWS_Aramaic_Hertevin,wood,205
NWS_Aramaic_Jinnet,wood,205
NWS_Aramaic_Mer,wood,205
NWS_Aramaic_Urmi_C,wood,205
NWS_Aramaic_J_Koy_Sanjaq,wood,206
NWS_Aramaic_J_Sanandaj,wood,206
NWS_Aramaic_Miden,wood,205
NWS_Aramaic_Mlahso,wood,205
NWS_Aramaic_Western_Maaloula,wood,205
NWS_Aramaic_Mandaic_Neo,wood,207
Ethio_Ge'ez,shoulder,301
